City,State,State Code,Is Capital,id,Weather,Temperature,Humidity,Wind Speed
Sandisfield,Massachusetts,MA,False,25,Clouds,-5.41,70,0.89
South Egremont,Massachusetts,MA,False,25,Clouds,-3.11,70,2.24
South Lee,Massachusetts,MA,False,25,Clouds,-3.65,67,7.72
Tyringham,Massachusetts,MA,False,25,Clouds,-4.0,69,1.34
West Stockbridge,Massachusetts,MA,False,25,Clouds,-3.95,66,7.72
Bernardston,Massachusetts,MA,False,25,Clouds,-3.25,59,2.24
Charlemont,Massachusetts,MA,False,25,Clouds,-4.58,52,4.47
Colrain,Massachusetts,MA,False,25,Clouds,-4.84,63,6.11
Erving,Massachusetts,MA,False,25,Clouds,-3.35,55,5.66
Millers Falls,Massachusetts,MA,False,25,Clouds,-2.97,57,5.66
Monroe Bridge,Massachusetts,MA,False,25,Clouds,-5.88,56,6.17
Petersham,Massachusetts,MA,False,25,Clouds,-4.18,46,5.66
Royalston,Massachusetts,MA,False,25,Clouds,-4.45,55,5.66
Shelburne Falls,Massachusetts,MA,False,25,Clouds,-3.91,63,4.47
South Deerfield,Massachusetts,MA,False,25,Clouds,-2.56,57,1.34
Turners Falls,Massachusetts,MA,False,25,Clouds,-2.79,57,2.24
Wendell Depot,Massachusetts,MA,False,25,Clouds,-3.43,54,5.66
Fitchburg,Massachusetts,MA,False,25,Clouds,-2.92,50,11.32
Ashburnham,Massachusetts,MA,False,25,Clouds,-4.43,53,11.32
Ayer,Massachusetts,MA,False,25,Clouds,-2.6,51,11.32
Devens,Massachusetts,MA,False,25,Clouds,-2.6,50,11.32
Baldwinville,Massachusetts,MA,False,25,Clouds,-4.05,56,5.66
East Templeton,Massachusetts,MA,False,25,Clouds,-4.21,56,6.66
Leominster,Massachusetts,MA,False,25,Clouds,-2.7,49,11.32
Pepperell,Massachusetts,MA,False,25,Clouds,-2.9,51,9.26
Still River,Massachusetts,MA,False,25,Clouds,-2.85,50,11.32
West Groton,Massachusetts,MA,False,25,Clouds,-2.66,51,11.32
West Townsend,Massachusetts,MA,False,25,Clouds,-2.92,52,1.34
Winchendon,Massachusetts,MA,False,25,Clear,-4.67,57,4.63
Winchendon Springs,Massachusetts,MA,False,25,Clear,-4.81,57,4.63
Boylston,Massachusetts,MA,False,25,Clear,-3.09,51,10.29
Charlton,Massachusetts,MA,False,25,Clear,-3.16,51,10.29
Charlton City,Massachusetts,MA,False,25,Clear,-3.07,51,10.29
Charlton Depot,Massachusetts,MA,False,25,Clear,-3.32,50,10.29
East Brookfield,Massachusetts,MA,False,25,Clear,-2.77,49,10.29
East Princeton,Massachusetts,MA,False,25,Clouds,-3.29,51,11.32
Fiskdale,Massachusetts,MA,False,25,Clouds,-2.75,49,9.39
Manchaug,Massachusetts,MA,False,25,Clouds,-2.37,53,5.81
New Braintree,Massachusetts,MA,False,25,Clouds,-3.57,46,6.66
Northborough,Massachusetts,MA,False,25,Clouds,-2.44,50,4.47
Northbridge,Massachusetts,MA,False,25,Clouds,-2.29,52,4.02
North Grafton,Massachusetts,MA,False,25,Clear,-2.39,51,10.29
North Oxford,Massachusetts,MA,False,25,Clear,-2.61,51,10.29
North Uxbridge,Massachusetts,MA,False,25,Clouds,-1.94,55,2.24
Rochdale,Massachusetts,MA,False,25,Clear,-3.01,51,10.29
Southbridge,Massachusetts,MA,False,25,Clouds,-2.34,50,9.39
South Grafton,Massachusetts,MA,False,25,Clouds,-5.98,66,4.63
South Lancaster,Massachusetts,MA,False,25,Clouds,-2.55,50,11.32
Sturbridge,Massachusetts,MA,False,25,Clouds,-2.62,49,9.39
Uxbridge,Massachusetts,MA,False,25,Clouds,-1.93,55,5.81
Westborough,Massachusetts,MA,False,25,Clouds,-2.39,50,4.47
West Boylston,Massachusetts,MA,False,25,Clear,-2.77,52,10.29
West Brookfield,Massachusetts,MA,False,25,Clouds,-2.72,45,6.65
West Millbury,Massachusetts,MA,False,25,Clear,-2.84,52,10.29
Whitinsville,Massachusetts,MA,False,25,Clouds,-2.19,55,4.02
Framingham,Massachusetts,MA,False,25,Clouds,-2.06,51,5.36
Village Of Nagog Woods,Massachusetts,MA,False,25,Clouds,-2.67,51,5.66
Boxborough,Massachusetts,MA,False,25,Clouds,-2.92,51,5.66
Fayville,Massachusetts,MA,False,25,Clouds,-2.4,51,4.02
Holliston,Massachusetts,MA,False,25,Clouds,-2.06,53,4.02
Natick,Massachusetts,MA,False,25,Clouds,-2.04,50,5.36
Sherborn,Massachusetts,MA,False,25,Clouds,-2.01,51,5.36
Southborough,Massachusetts,MA,False,25,Clouds,-2.47,51,4.47
Sudbury,Massachusetts,MA,False,25,Clouds,-2.36,51,5.66
Woburn,Massachusetts,MA,False,25,Clouds,-2.18,48,9.26
Billerica,Massachusetts,MA,False,25,Clouds,-2.67,50,5.66
Chelmsford,Massachusetts,MA,False,25,Clouds,-2.44,51,5.66
Dracut,Massachusetts,MA,False,25,Clouds,-2.76,50,7.72
Dunstable,Massachusetts,MA,False,25,Clouds,-2.78,51,9.26
Methuen,Massachusetts,MA,False,25,Clouds,-2.94,49,7.72
North Andover,Massachusetts,MA,False,25,Clouds,-3.08,48,7.72
North Billerica,Massachusetts,MA,False,25,Clouds,-2.45,50,7.72
North Chelmsford,Massachusetts,MA,False,25,Clouds,-2.6,51,9.26
North Reading,Massachusetts,MA,False,25,Clear,-2.27,49,7.72
Nutting Lake,Massachusetts,MA,False,25,Clouds,-2.5,49,5.66
Tewksbury,Massachusetts,MA,False,25,Clouds,-2.49,49,7.72
West Boxford,Massachusetts,MA,False,25,Clouds,-3.02,48,7.72
Saugus,Massachusetts,MA,False,25,Clouds,-1.92,48,9.26
Swampscott,Massachusetts,MA,False,25,Clear,-1.92,47,9.26
Nahant,Massachusetts,MA,False,25,Clouds,-1.89,47,9.26
Amesbury,Massachusetts,MA,False,25,Clouds,-3.03,49,3.13
Boxford,Massachusetts,MA,False,25,Clear,-2.67,48,7.72
Byfield,Massachusetts,MA,False,25,Clouds,-2.87,49,7.72
Hathorne,Massachusetts,MA,False,25,Clear,-2.45,48,7.72
Lynnfield,Massachusetts,MA,False,25,Clear,-2.17,48,9.26
Marblehead,Massachusetts,MA,False,25,Clear,-1.82,47,9.26
Newburyport,Massachusetts,MA,False,25,Clouds,-2.75,49,3.13
Prides Crossing,Massachusetts,MA,False,25,Clear,-1.96,48,7.72
South Hamilton,Massachusetts,MA,False,25,Clear,-2.3,49,7.72
Wenham,Massachusetts,MA,False,25,Clear,-2.33,49,7.72
Brant Rock,Massachusetts,MA,False,25,Clear,-0.81,51,6.17
East Walpole,Massachusetts,MA,False,25,Clouds,-1.74,48,9.83
Green Harbor,Massachusetts,MA,False,25,Clear,-0.78,50,8.75
Humarock,Massachusetts,MA,False,25,Clear,-0.87,49,6.17
Marshfield Hills,Massachusetts,MA,False,25,Clear,-1.07,49,6.17
Medfield,Massachusetts,MA,False,25,Clouds,-1.92,51,3.13
Millis,Massachusetts,MA,False,25,Clouds,-1.87,52,4.47
North Marshfield,Massachusetts,MA,False,25,Clear,-0.98,49,6.17
Norwell,Massachusetts,MA,False,25,Clear,-0.96,49,6.17
Ocean Bluff,Massachusetts,MA,False,25,Clear,-0.84,51,6.17
Scituate,Massachusetts,MA,False,25,Clear,-0.93,46,6.17
Sheldonville,Massachusetts,MA,False,25,Snow,-1.97,52,7.15
South Walpole,Massachusetts,MA,False,25,Clouds,-1.95,50,5.36
Wrentham,Massachusetts,MA,False,25,Clear,-1.98,51,7.15
Roxbury Crossing,Massachusetts,MA,False,25,Clouds,-1.77,47,9.26
Dorchester Center,Massachusetts,MA,False,25,Clouds,-1.75,47,9.83
Mattapan,Massachusetts,MA,False,25,Clouds,-1.68,47,9.83
Jamaica Plain,Massachusetts,MA,False,25,Clouds,-1.77,48,9.26
Roslindale,Massachusetts,MA,False,25,Clouds,-1.71,48,9.83
West Roxbury,Massachusetts,MA,False,25,Clouds,-2.01,48,9.83
Allston,Massachusetts,MA,False,25,Clouds,-1.77,48,9.26
Readville,Massachusetts,MA,False,25,Clouds,-1.67,48,9.83
West Medford,Massachusetts,MA,False,25,Clouds,-1.87,48,9.26
Braintree,Massachusetts,MA,False,25,Clouds,-1.57,48,9.83
Milton Village,Massachusetts,MA,False,25,Clouds,-1.77,47,9.83
Weymouth,Massachusetts,MA,False,25,Clouds,-1.42,48,9.26
East Weymouth,Massachusetts,MA,False,25,Clouds,-1.29,48,9.26
South Weymouth,Massachusetts,MA,False,25,Clouds,-1.4,48,2.24
East Boston,Massachusetts,MA,False,25,Clouds,-1.81,48,9.26
Bryantville,Massachusetts,MA,False,25,Clear,-0.91,50,8.75
Duxbury,Massachusetts,MA,False,25,Clear,-0.68,51,8.75
East Bridgewater,Massachusetts,MA,False,25,Clouds,-0.91,50,3.6
Middleboro,Massachusetts,MA,False,25,Clouds,-0.86,49,8.75
Manomet,Massachusetts,MA,False,25,Clear,-1.04,53,8.75
Monponsett,Massachusetts,MA,False,25,Clear,-0.8,51,8.75
North Carver,Massachusetts,MA,False,25,Clear,-0.89,51,8.75
North Easton,Massachusetts,MA,False,25,Clouds,-1.55,49,1.34
North Pembroke,Massachusetts,MA,False,25,Clear,-0.85,51,6.17
South Carver,Massachusetts,MA,False,25,Clear,-1.04,50,8.75
Plympton,Massachusetts,MA,False,25,Clear,-0.84,51,8.75
South Easton,Massachusetts,MA,False,25,Clouds,-1.4,49,1.79
West Bridgewater,Massachusetts,MA,False,25,Clouds,-1.05,48,3.6
White Horse Beach,Massachusetts,MA,False,25,Clear,-0.89,52,8.75
Brookline Village,Massachusetts,MA,False,25,Clouds,-1.73,48,9.26
Newton Center,Massachusetts,MA,False,25,Clouds,-3.51,49,6.69
Newton Highlands,Massachusetts,MA,False,25,Clouds,-1.94,49,9.26
Newton Lower Falls,Massachusetts,MA,False,25,Clouds,-1.85,50,5.66
Newton Upper Falls,Massachusetts,MA,False,25,Clouds,-1.93,49,9.26
Chestnut Hill,Massachusetts,MA,False,25,Clouds,-2.08,48,9.26
Waban,Massachusetts,MA,False,25,Clouds,-1.93,49,9.26
Waverley,Massachusetts,MA,False,25,Clouds,-1.92,49,9.26
Wellesley Hills,Massachusetts,MA,False,25,Clouds,-2.13,50,5.66
Wellesley,Massachusetts,MA,False,25,Clouds,-1.92,50,5.66
Needham Heights,Massachusetts,MA,False,25,Clouds,-2.04,49,3.58
Nonantum,Massachusetts,MA,False,25,Clouds,-1.76,49,9.26
Buzzards Bay,Massachusetts,MA,False,25,Clouds,-1.23,48,10.28
Cataumet,Massachusetts,MA,False,25,Clouds,-1.12,48,10.28
Chilmark,Massachusetts,MA,False,25,Clouds,-0.46,42,8.23
East Falmouth,Massachusetts,MA,False,25,Clouds,-0.87,47,9.77
East Sandwich,Massachusetts,MA,False,25,Clouds,-1.14,48,9.77
East Wareham,Massachusetts,MA,False,25,Clouds,-1.15,47,10.28
Edgartown,Massachusetts,MA,False,25,Clouds,-0.25,41,8.23
Woods Hole,Massachusetts,MA,False,25,Clouds,-0.73,49,9.77
Menemsha,Massachusetts,MA,False,25,Clouds,-0.49,42,8.23
Monument Beach,Massachusetts,MA,False,25,Clouds,-1.23,48,10.28
Nantucket,Massachusetts,MA,False,25,Clouds,-1.07,51,11.32
North Falmouth,Massachusetts,MA,False,25,Clouds,-1.06,49,10.28
Oak Bluffs,Massachusetts,MA,False,25,Clouds,-0.41,46,8.23
Onset,Massachusetts,MA,False,25,Clouds,-1.13,47,10.28
Sagamore Beach,Massachusetts,MA,False,25,Clouds,-1.27,48,9.77
Siasconset,Massachusetts,MA,False,25,Clouds,-1.01,51,11.32
Silver Beach,Massachusetts,MA,False,25,Clouds,-0.97,49,10.28
Vineyard Haven,Massachusetts,MA,False,25,Clouds,-0.52,45,8.23
Wareham,Massachusetts,MA,False,25,Clear,-0.9,46,8.75
West Chop,Massachusetts,MA,False,25,Clouds,-0.66,46,8.23
West Falmouth,Massachusetts,MA,False,25,Clouds,-1.02,49,9.77
West Tisbury,Massachusetts,MA,False,25,Clouds,-0.39,44,8.23
West Wareham,Massachusetts,MA,False,25,Clear,-1.04,47,8.75
Barnstable,Massachusetts,MA,False,25,Clear,-0.8,47,10.73
Cotuit,Massachusetts,MA,False,25,Clouds,-0.88,46,9.77
Cummaquid,Massachusetts,MA,False,25,Clear,-0.77,49,10.73
Dennis Port,Massachusetts,MA,False,25,Clouds,-0.56,48,6.17
East Dennis,Massachusetts,MA,False,25,Clear,-0.69,49,10.73
Eastham,Massachusetts,MA,False,25,Clouds,-0.57,51,3.58
East Orleans,Massachusetts,MA,False,25,Clouds,-0.53,49,3.58
Harwich,Massachusetts,MA,False,25,Clouds,-0.58,48,6.17
Harwich Port,Massachusetts,MA,False,25,Clouds,-0.46,47,6.17
Marstons Mills,Massachusetts,MA,False,25,Clouds,-0.98,47,9.77
Mashpee,Massachusetts,MA,False,25,Clouds,-1.06,46,9.77
North Eastham,Massachusetts,MA,False,25,Clouds,-0.7,51,7.6
North Truro,Massachusetts,MA,False,25,Clouds,-1.11,55,9.77
Osterville,Massachusetts,MA,False,25,Clear,-0.89,46,9.77
Provincetown,Massachusetts,MA,False,25,Clouds,-1.01,55,9.77
South Chatham,Massachusetts,MA,False,25,Clouds,-0.48,48,3.58
South Harwich,Massachusetts,MA,False,25,Clouds,-0.46,48,6.17
South Orleans,Massachusetts,MA,False,25,Clouds,-0.6,49,3.58
South Wellfleet,Massachusetts,MA,False,25,Clouds,-0.87,55,7.6
South Yarmouth,Massachusetts,MA,False,25,Clear,-0.61,48,10.73
West Barnstable,Massachusetts,MA,False,25,Clear,-0.94,47,9.77
West Chatham,Massachusetts,MA,False,25,Clouds,-0.46,47,3.58
West Dennis,Massachusetts,MA,False,25,Clear,-0.6,48,6.17
West Harwich,Massachusetts,MA,False,25,Clouds,-0.47,47,6.17
West Hyannisport,Massachusetts,MA,False,25,Clear,-0.82,46,9.77
West Yarmouth,Massachusetts,MA,False,25,Clear,-0.73,48,6.17
Yarmouth Port,Massachusetts,MA,False,25,Clear,-0.75,49,10.73
Assonet,Massachusetts,MA,False,25,Clouds,-1.12,47,3.6
Attleboro,Massachusetts,MA,False,25,Clouds,-1.81,49,6.17
Chartley,Massachusetts,MA,False,25,Clouds,-1.7,49,2.24
Cuttyhunk,Massachusetts,MA,False,25,Clear,-0.74,59,13.04
Dartmouth,Massachusetts,MA,False,25,Clear,-0.51,50,6.69
East Freetown,Massachusetts,MA,False,25,Clear,-0.86,46,6.69
East Taunton,Massachusetts,MA,False,25,Clouds,-0.99,47,3.6
Fairhaven,Massachusetts,MA,False,25,Clear,-0.42,49,9.83
Mattapoisett,Massachusetts,MA,False,25,Clear,-0.56,49,9.83
Acushnet,Massachusetts,MA,False,25,Clear,-0.54,48,6.69
North Dartmouth,Massachusetts,MA,False,25,Clear,-0.71,49,6.69
South Dartmouth,Massachusetts,MA,False,25,Clear,-0.57,50,9.83
North Attleboro,Massachusetts,MA,False,25,Clouds,-1.9,51,9.39
Attleboro Falls,Massachusetts,MA,False,25,Clouds,-1.84,51,6.17
North Dighton,Massachusetts,MA,False,25,Clouds,-1.24,48,7.6
Raynham,Massachusetts,MA,False,25,Clouds,-1.33,48,3.6
Raynham Center,Massachusetts,MA,False,25,Clouds,-1.18,48,3.6
Seekonk,Massachusetts,MA,False,25,Clouds,-1.25,48,7.72
Westport Point,Massachusetts,MA,False,25,Clear,-0.73,51,6.69
Ashaway,Rhode Island,RI,False,44,Clear,-0.09,45,5.36
Block Island,Rhode Island,RI,False,44,Clouds,0.0,54,4.92
Chepachet,Rhode Island,RI,False,44,Snow,-2.05,53,7.15
West Greenwich,Rhode Island,RI,False,44,Clear,-1.59,47,4.02
East Greenwich,Rhode Island,RI,False,44,Clouds,-0.83,46,10.8
Fiskeville,Rhode Island,RI,False,44,Clouds,-1.1,46,10.8
Forestdale,Massachusetts,MA,False,25,Clouds,-1.32,47,9.77
Hope Valley,Rhode Island,RI,False,44,Clear,-0.41,48,5.36
Little Compton,Rhode Island,RI,False,44,Clear,-0.6,52,9.54
Mapleville,Rhode Island,RI,False,44,Clouds,-1.97,52,7.15
North Kingstown,Rhode Island,RI,False,44,Clouds,-0.69,46,10.8
North Scituate,Massachusetts,MA,False,25,Clear,-1.05,47,6.17
Pascoag,Rhode Island,RI,False,44,Clouds,-2.27,53,6.71
Pawtucket,Rhode Island,RI,False,44,Clouds,-1.47,48,7.72
Central Falls,Rhode Island,RI,False,44,Clouds,-1.52,48,7.72
Prudence Island,Rhode Island,RI,False,44,Clouds,-0.69,46,10.8
Saunderstown,Rhode Island,RI,False,44,Clouds,-0.58,47,10.8
Shannock,Rhode Island,RI,False,44,Clear,-0.5,47,3.6
Slatersville,Rhode Island,RI,False,44,Clouds,-1.85,54,6.71
Slocum,Rhode Island,RI,False,44,Clouds,-0.8,47,10.8
Tiverton,Rhode Island,RI,False,44,Clear,-1.13,49,6.69
Narragansett,Rhode Island,RI,False,44,Clouds,-0.52,47,10.8
Westerly,Rhode Island,RI,False,44,Clear,0.07,44,5.81
West Kingston,Rhode Island,RI,False,44,Clouds,-0.66,47,10.8
West Warwick,Rhode Island,RI,False,44,Clouds,-0.98,45,10.8
Wood River Junction,Rhode Island,RI,False,44,Clear,-0.26,46,5.36
North Smithfield,Rhode Island,RI,False,44,Snow,-1.9,54,6.17
Cranston,Rhode Island,RI,False,44,Clouds,-1.05,46,7.72
North Providence,Rhode Island,RI,False,44,Clouds,-1.55,48,7.72
East Providence,Rhode Island,RI,False,44,Clouds,-1.22,47,7.72
Candia,New Hampshire,NH,False,33,Clouds,-4.21,52,0.45
East Candia,New Hampshire,NH,False,33,Clouds,-4.12,52,0.45
East Derry,New Hampshire,NH,False,33,Clouds,-3.91,52,6.26
Epping,New Hampshire,NH,False,33,Clouds,-3.47,49,1.34
Francestown,New Hampshire,NH,False,33,Clouds,-5.29,56,0.89
Goffstown,New Hampshire,NH,False,33,Clouds,-4.19,53,5.81
Dunbarton,New Hampshire,NH,False,33,Clouds,-5.12,53,8.23
Merrimack,New Hampshire,NH,False,33,Clouds,-3.21,52,9.26
Mont Vernon,New Hampshire,NH,False,33,Clouds,-4.95,53,9.26
New Ipswich,New Hampshire,NH,False,33,Clear,-5.03,56,5.36
Lyndeborough,New Hampshire,NH,False,33,Clouds,-5.05,54,3.13
Hooksett,New Hampshire,NH,False,33,Clouds,-3.85,52,8.23
Waterville Valley,New Hampshire,NH,False,33,Clouds,-9.55,64,3.82
Barnstead,New Hampshire,NH,False,33,Clouds,-4.94,58,0.89
Center Barnstead,New Hampshire,NH,False,33,Clouds,-5.08,59,0.89
Center Harbor,New Hampshire,NH,False,33,Clouds,-7.11,64,6.26
Center Sandwich,New Hampshire,NH,False,33,Clouds,-7.16,67,1.34
Contoocook,New Hampshire,NH,False,33,Clouds,-4.54,52,8.23
Epsom,New Hampshire,NH,False,33,Clouds,-4.65,55,8.23
Glencliff,New Hampshire,NH,False,33,Clouds,-8.5,56,4.77
Henniker,New Hampshire,NH,False,33,Clouds,-4.7,54,0.89
Hill,New Hampshire,NH,False,33,Clouds,-5.35,58,2.24
Holderness,New Hampshire,NH,False,33,Clouds,-6.54,63,2.68
Gilford,New Hampshire,NH,False,33,Clouds,-6.39,58,6.17
Lochmere,New Hampshire,NH,False,33,Clouds,-5.78,58,6.17
Moultonborough,New Hampshire,NH,False,33,Clouds,-6.75,67,6.26
North Sandwich,New Hampshire,NH,False,33,Clouds,-7.33,68,1.34
North Sutton,New Hampshire,NH,False,33,Clouds,-6.5,59,3.13
North Woodstock,New Hampshire,NH,False,33,Clouds,-7.77,63,4.34
Rumney,New Hampshire,NH,False,33,Clouds,-6.94,66,2.57
Sanbornton,New Hampshire,NH,False,33,Clouds,-6.15,59,6.17
South Newbury,New Hampshire,NH,False,33,Clouds,-6.04,60,5.82
South Sutton,New Hampshire,NH,False,33,Clouds,-5.89,59,5.65
Stinson Lake,New Hampshire,NH,False,33,Clouds,-8.78,67,2.57
Suncook,New Hampshire,NH,False,33,Clouds,-4.13,52,8.23
Weare,New Hampshire,NH,False,33,Clouds,-4.94,55,1.79
Winnisquam,New Hampshire,NH,False,33,Clouds,-5.72,58,6.17
West Nottingham,New Hampshire,NH,False,33,Clouds,-4.38,54,1.79
Antrim,New Hampshire,NH,False,33,Clouds,-5.38,60,3.13
Ashuelot,New Hampshire,NH,False,33,Clouds,-3.83,54,6.17
Swanzey,New Hampshire,NH,False,33,Clouds,-4.1,55,6.17
Fitzwilliam,New Hampshire,NH,False,33,Clear,-5.83,58,6.17
Gilsum,New Hampshire,NH,False,33,Clouds,-5.22,56,6.17
Jaffrey,New Hampshire,NH,False,33,Clear,-5.51,58,4.63
Peterborough,New Hampshire,NH,False,33,Clear,-5.25,58,4.63
Rindge,New Hampshire,NH,False,33,Clear,-5.69,58,4.63
Spofford,New Hampshire,NH,False,33,Clouds,-4.25,53,6.17
West Chesterfield,Massachusetts,MA,False,25,Clouds,-4.61,61,2.68
West Peterborough,New Hampshire,NH,False,33,Clear,-5.32,58,4.63
West Swanzey,New Hampshire,NH,False,33,Clouds,-4.21,55,6.17
Bretton Woods,New Hampshire,NH,False,33,Snow,-10.76,61,5.66
Errol,New Hampshire,NH,False,33,Clouds,-11.19,78,5.25
Sugar Hill,New Hampshire,NH,False,33,Clouds,-10.64,75,0.89
North Stratford,New Hampshire,NH,False,33,Clouds,-9.79,77,4.95
Twin Mountain,New Hampshire,NH,False,33,Snow,-10.31,63,5.66
West Stewartstown,New Hampshire,NH,False,33,Clouds,-11.84,83,5.04
Alstead,New Hampshire,NH,False,33,Clouds,-4.87,63,1.34
Drewsville,New Hampshire,NH,False,33,Clouds,-4.68,63,5.34
Lempster,New Hampshire,NH,False,33,Clouds,-7.16,63,5.85
South Acworth,New Hampshire,NH,False,33,Clouds,-5.85,63,1.34
North Walpole,New Hampshire,NH,False,33,Clouds,-4.38,63,2.24
Cornish Flat,New Hampshire,NH,False,33,Clouds,-6.73,58,0.45
Enfield Center,New Hampshire,NH,False,33,Clouds,-7.1,61,2.24
Georges Mills,New Hampshire,NH,False,33,Clouds,-6.98,58,3.13
Lyme,New Hampshire,NH,False,33,Clouds,-6.9,58,4.07
Lyme Center,New Hampshire,NH,False,33,Clouds,-7.39,58,4.13
North Haverhill,New Hampshire,NH,False,33,Clouds,-7.66,52,4.37
Orford,New Hampshire,NH,False,33,Clouds,-6.36,51,4.07
Sunapee,New Hampshire,NH,False,33,Clouds,-7.03,58,3.13
Woodsville,New Hampshire,NH,False,33,Clouds,-8.14,59,4.31
Alton Bay,New Hampshire,NH,False,33,Clouds,-5.77,56,6.17
Center Conway,New Hampshire,NH,False,33,Clouds,-6.58,57,5.14
Center Ossipee,New Hampshire,NH,False,33,Clouds,-6.29,72,5.55
Center Strafford,New Hampshire,NH,False,33,Clouds,-5.2,58,2.68
Center Tuftonboro,New Hampshire,NH,False,33,Clouds,-6.78,64,6.17
Chocorua,New Hampshire,NH,False,33,Clouds,-7.0,62,4.46
Madbury,New Hampshire,NH,False,33,Clouds,-3.65,50,2.24
East Hampstead,New Hampshire,NH,False,33,Clouds,-3.5,51,7.72
East Kingston,New Hampshire,NH,False,33,Clouds,-3.25,50,4.92
East Wakefield,New Hampshire,NH,False,33,Clouds,-5.83,45,1.79
Eaton Center,New Hampshire,NH,False,33,Clouds,-6.71,57,5.14
Hampton Falls,New Hampshire,NH,False,33,Clouds,-2.95,49,3.13
Intervale,New Hampshire,NH,False,33,Clouds,-6.94,60,5.14
Melvin Village,New Hampshire,NH,False,33,Clouds,-6.34,64,6.17
Milton Mills,New Hampshire,NH,False,33,Clouds,-5.06,49,3.13
Mirror Lake,New Hampshire,NH,False,33,Clouds,-6.35,63,6.26
New Durham,New Hampshire,NH,False,33,Clouds,-5.28,60,5.11
Newfields,New Hampshire,NH,False,33,Clouds,-3.14,49,3.13
Newmarket,New Hampshire,NH,False,33,Clouds,-3.32,50,2.24
Newton Junction,New Hampshire,NH,False,33,Clouds,-3.2,50,7.72
North Conway,New Hampshire,NH,False,33,Clouds,-6.97,59,5.14
Ossipee,New Hampshire,NH,False,33,Clouds,-6.22,56,5.64
Plaistow,New Hampshire,NH,False,33,Clouds,-3.14,50,7.72
Rollinsford,New Hampshire,NH,False,33,Clouds,-3.68,51,7.2
Rye Beach,New Hampshire,NH,False,33,Clouds,-2.9,49,2.24
Sanbornville,New Hampshire,NH,False,33,Clouds,-5.45,47,1.79
Sandown,New Hampshire,NH,False,33,Clouds,-3.53,52,4.47
Somersworth,New Hampshire,NH,False,33,Clouds,-4.05,52,7.2
South Tamworth,New Hampshire,NH,False,33,Clouds,-7.05,68,1.34
Stratham,New Hampshire,NH,False,33,Clouds,-3.18,50,3.13
Tamworth,New Hampshire,NH,False,33,Clouds,-6.96,64,4.56
West Ossipee,New Hampshire,NH,False,33,Clouds,-6.57,64,5.0
Wolfeboro,New Hampshire,NH,False,33,Clouds,-6.17,62,6.17
Wolfeboro Falls,New Hampshire,NH,False,33,Clouds,-6.18,62,6.17
Wonalancet,New Hampshire,NH,False,33,Clouds,-8.3,64,1.34
Cape Neddick,Maine,ME,False,23,Clouds,-3.79,52,6.18
Eliot,Maine,ME,False,23,Clouds,-3.39,50,2.24
Kittery,Maine,ME,False,23,Clouds,-3.23,50,1.34
